country,highest_education,title,pay_usd
United Kingdom,Doctoral degree,Principal Investigator,"40-50,000"
Germany,Master’s degree,Data Scientist,"60-70,000"
United States,Doctoral degree,Other,"90-100,000"
Spain,Doctoral degree,Data Scientist,"60-70,000"
Greece,Master’s degree,Software Engineer,"0-10,000"
Nigeria,Bachelor’s degree,Research Scientist,"0-10,000"
Australia,Master’s degree,Manager,"150-200,000"
United States,Master’s degree,Data Analyst,I do not wish to disclose my approximate yearly compensation
Brazil,Bachelor’s degree,Software Engineer,"30-40,000"
Australia,Some college/university study without earning a bachelor’s degree,Other,"30-40,000"
"Egypt, Arab Rep.",Bachelor’s degree,Manager,"0-10,000"
United States,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
United Kingdom,Doctoral degree,Other,"70-80,000"
Canada,Some college/university study without earning a bachelor’s degree,Manager,I do not wish to disclose my approximate yearly compensation
Italy,Doctoral degree,Data Scientist,"20-30,000"
Sweden,Master’s degree,Consultant,"90-100,000"
United States,Master’s degree,Student,"0-10,000"
Germany,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
Brazil,Master’s degree,Data Scientist,"100-125,000"
Japan,Master’s degree,Data Analyst,"80-90,000"
Canada,Doctoral degree,Data Scientist,"60-70,000"
United States,Master’s degree,Product/Project Manager,"100-125,000"
Germany,Master’s degree,Consultant,"60-70,000"
United States,Master’s degree,Other,I do not wish to disclose my approximate yearly compensation
Brazil,Master’s degree,Data Engineer,"80-90,000"
Canada,Master’s degree,Data Scientist,"70-80,000"
United States,Master’s degree,Software Engineer,"80-90,000"
Japan,Some college/university study without earning a bachelor’s degree,Student,"0-10,000"
"Korea, Rep.",No formal education past high school,Data Analyst,"70-80,000"
United States,Doctoral degree,Other,"60-70,000"
Turkey,Master’s degree,Data Scientist,"10-20,000"
Poland,Bachelor’s degree,Data Scientist,"30-40,000"
Denmark,Doctoral degree,Student,"50-60,000"
Hungary,Master’s degree,Manager,"80-90,000"
United States,Master’s degree,DBA/Database Engineer,"125-150,000"
United States,Doctoral degree,Student,"0-10,000"
United States,Master’s degree,Student,"10-20,000"
Turkey,Master’s degree,Data Analyst,"10-20,000"
Canada,Master’s degree,Research Assistant,"10-20,000"
Denmark,Bachelor’s degree,Consultant,"125-150,000"
Australia,Master’s degree,Consultant,I do not wish to disclose my approximate yearly compensation
Ukraine,Bachelor’s degree,Not employed,
United States,Master’s degree,Statistician,I do not wish to disclose my approximate yearly compensation
United States,Master’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
China,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
United States,Master’s degree,Student,"0-10,000"
United States,Bachelor’s degree,Not employed,
"Egypt, Arab Rep.",Bachelor’s degree,Other,"0-10,000"
United States,Master’s degree,Data Analyst,"60-70,000"
Australia,Bachelor’s degree,Data Analyst,"100-125,000"
Canada,Master’s degree,Data Scientist,"70-80,000"
United States,Master’s degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
United States,Bachelor’s degree,Product/Project Manager,I do not wish to disclose my approximate yearly compensation
United States,Master’s degree,Manager,"125-150,000"
United States,Master’s degree,Data Engineer,"100-125,000"
Indonesia,Doctoral degree,Research Assistant,"0-10,000"
United States,Doctoral degree,Research Scientist,I do not wish to disclose my approximate yearly compensation
United States,Master’s degree,Data Analyst,"50-60,000"
United States,Bachelor’s degree,Student,"0-10,000"
Netherlands,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
"Korea, Rep.",Master’s degree,Data Scientist,"70-80,000"
South Africa,Bachelor’s degree,Student,"0-10,000"
Canada,Master’s degree,Other,"30-40,000"
Australia,Bachelor’s degree,Consultant,"90-100,000"
Singapore,Doctoral degree,Other,"250-300,000"
United States,Master’s degree,Business Analyst,"50-60,000"
United States,Master’s degree,Not employed,
Canada,Doctoral degree,Research Scientist,"40-50,000"
United States,Some college/university study without earning a bachelor’s degree,Software Engineer,"70-80,000"
France,Master’s degree,Software Engineer,
United States,Master’s degree,Data Scientist,"125-150,000"
United States,Bachelor’s degree,Data Engineer,"150-200,000"
Australia,Bachelor’s degree,Data Engineer,"80-90,000"
United States,Doctoral degree,Research Assistant,"100-125,000"
United States,Master’s degree,Data Analyst,"50-60,000"
United States,Master’s degree,Not employed,
United States,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
United States,Master’s degree,Data Analyst,"90-100,000"
United States,Master’s degree,Software Engineer,"100-125,000"
Brazil,Bachelor’s degree,Data Analyst,"0-10,000"
United States,Bachelor’s degree,Business Analyst,I do not wish to disclose my approximate yearly compensation
United States,Master’s degree,Data Engineer,"100-125,000"
United States,Bachelor’s degree,Student,"0-10,000"
Nigeria,Bachelor’s degree,Student,"10-20,000"
United States,Master’s degree,Student,"30-40,000"
United States,Bachelor’s degree,Manager,"150-200,000"
United States,Master’s degree,Data Analyst,"80-90,000"
Vietnam,Bachelor’s degree,Product/Project Manager,"0-10,000"
Canada,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
Brazil,Master’s degree,Data Scientist,"10-20,000"
United States,Bachelor’s degree,Software Engineer,"50-60,000"
United States,Bachelor’s degree,Software Engineer,"100-125,000"
Colombia,Master’s degree,Consultant,I do not wish to disclose my approximate yearly compensation
China,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
Kenya,Bachelor’s degree,Data Analyst,"0-10,000"
United States,Master’s degree,Consultant,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Manager,"50-60,000"
Russian Federation,No formal education past high school,Not employed,
India,Bachelor’s degree,Data Analyst,"0-10,000"
Canada,Master’s degree,Data Analyst,"30-40,000"
India,Master’s degree,Other,I do not wish to disclose my approximate yearly compensation
Japan,Doctoral degree,Research Scientist,I do not wish to disclose my approximate yearly compensation
United States,Master’s degree,Data Analyst,"70-80,000"
United States,Some college/university study without earning a bachelor’s degree,Other,"10-20,000"
United States,Master’s degree,Not employed,
United States,Bachelor’s degree,Student,
China,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Not employed,
Vietnam,Bachelor’s degree,Software Engineer,"0-10,000"
United States,Master’s degree,Student,"0-10,000"
United States,Bachelor’s degree,Other,"100-125,000"
United States,Some college/university study without earning a bachelor’s degree,Not employed,
"Hong Kong SAR, China",Master’s degree,Business Analyst,"60-70,000"
Australia,Doctoral degree,Data Scientist,"70-80,000"
Brazil,Master’s degree,Data Scientist,"50-60,000"
Australia,Doctoral degree,Other,"100-125,000"
United States,Master’s degree,Data Scientist,"125-150,000"
India,Bachelor’s degree,Business Analyst,"20-30,000"
United States,Master’s degree,Data Scientist,"80-90,000"
United States,Doctoral degree,Software Engineer,"125-150,000"
Japan,Master’s degree,Business Analyst,"10-20,000"
China,Doctoral degree,Student,"0-10,000"
Chile,Master’s degree,Data Scientist,"90-100,000"
Singapore,Bachelor’s degree,Data Scientist,"90-100,000"
United States,Master’s degree,Student,"0-10,000"
United States,Bachelor’s degree,Other,"0-10,000"
Vietnam,Master’s degree,Data Scientist,"0-10,000"
Nigeria,I prefer not to answer,Not employed,
United States,Bachelor’s degree,Salesperson,"20-30,000"
United States,Master’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
China,Master’s degree,Student,"0-10,000"
Australia,Master’s degree,Data Scientist,"100-125,000"
United States,Master’s degree,Data Analyst,"80-90,000"
Mexico,Master’s degree,Other,"0-10,000"
United States,Master’s degree,Data Analyst,"70-80,000"
Italy,Some college/university study without earning a bachelor’s degree,Chief Officer,"40-50,000"
United States,Master’s degree,Business Analyst,"80-90,000"
United States,Master’s degree,Other,"150-200,000"
Canada,Master’s degree,Software Engineer,"90-100,000"
Singapore,Master’s degree,Data Engineer,"60-70,000"
Russian Federation,Master’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
United States,Master’s degree,Data Scientist,"30-40,000"
China,Bachelor’s degree,Data Analyst,I do not wish to disclose my approximate yearly compensation
China,Master’s degree,Software Engineer,"40-50,000"
United States,Master’s degree,Software Engineer,"80-90,000"
China,Master’s degree,Student,"0-10,000"
Japan,Bachelor’s degree,Software Engineer,"50-60,000"
Canada,Master’s degree,Manager,"100-125,000"
Japan,Bachelor’s degree,Business Analyst,"100-125,000"
United States,Bachelor’s degree,Data Scientist,"10-20,000"
Australia,Doctoral degree,Student,"40-50,000"
China,Some college/university study without earning a bachelor’s degree,Manager,"0-10,000"
China,Doctoral degree,Data Scientist,"0-10,000"
Singapore,Doctoral degree,Research Scientist,"40-50,000"
China,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
Canada,Bachelor’s degree,Data Scientist,"50-60,000"
"Korea, Rep.",Bachelor’s degree,Software Engineer,"30-40,000"
"Iran, Islamic Rep.",Master’s degree,Student,"20-30,000"
China,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
China,Master’s degree,Student,"0-10,000"
China,Master’s degree,Student,"0-10,000"
India,Bachelor’s degree,Consultant,"30-40,000"
China,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
China,Bachelor’s degree,Data Analyst,"10-20,000"
China,Master’s degree,Student,"0-10,000"
China,Master’s degree,Student,"0-10,000"
Canada,Master’s degree,Data Scientist,"70-80,000"
China,Master’s degree,Student,"0-10,000"
China,Master’s degree,DBA/Database Engineer,"40-50,000"
China,Doctoral degree,Research Assistant,"0-10,000"
China,Master’s degree,Consultant,"20-30,000"
United States,Bachelor’s degree,Data Analyst,"80-90,000"
Canada,Bachelor’s degree,Software Engineer,"150-200,000"
United States,Master’s degree,Consultant,"100-125,000"
China,Bachelor’s degree,Chief Officer,"150-200,000"
Vietnam,No formal education past high school,Data Engineer,"0-10,000"
Malaysia,Master’s degree,Not employed,
China,Master’s degree,Student,"0-10,000"
United Kingdom,Master’s degree,Software Engineer,"125-150,000"
China,Master’s degree,Software Engineer,"10-20,000"
China,Master’s degree,Student,"0-10,000"
China,Some college/university study without earning a bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Some college/university study without earning a bachelor’s degree,Data Analyst,"0-10,000"
China,Master’s degree,Student,"20-30,000"
China,Doctoral degree,Student,I do not wish to disclose my approximate yearly compensation
United States,Master’s degree,Business Analyst,"30-40,000"
China,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
China,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
China,Master’s degree,Data Engineer,I do not wish to disclose my approximate yearly compensation
China,Bachelor’s degree,Data Analyst,I do not wish to disclose my approximate yearly compensation
United States,Bachelor’s degree,Student,"20-30,000"
China,Bachelor’s degree,Software Engineer,"0-10,000"
United States,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Software Engineer,"20-30,000"
China,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
China,Doctoral degree,Student,"10-20,000"
China,Professional degree,Student,"0-10,000"
China,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
China,Master’s degree,Software Engineer,"10-20,000"
China,Doctoral degree,Data Analyst,I do not wish to disclose my approximate yearly compensation
China,Master’s degree,Student,"0-10,000"
